,query,carb
0,A large gluten-free roll is part of my meal.,26.2444
1,"For my meal, I am having a single pickled pig's foot.",0.0085
2,Enjoying a piece of chocolate candy.,4.752
3,Consuming dried nutmeat made from butternut.,0.3615
4,I am consuming 3 ounces of cooked braised beef chuck blade roast that has been trimmed of all fat.,0.0
5,"A cup filled with baked cubes of winter hubbard squash, seasoned without salt.",22.1605
6,"For breakfast, I'm enjoying a single frozen whole grain pancake.",15.42
7,Feeding my baby 1 fluid ounce of store brand infant formula prepared with tap water.,2.1716
8,"For dinner, I am enjoying a boneless chuck eye roast that has been cooked and roasted.",0.0
9,Enjoying a slice of reduced-fat pastrami sourced from a type of meat.,0.1792
10,"For dessert, I am enjoying a strawberry pie.",66.33
11,"A serving of Boston blade pork shoulder, cooked and roasted, weighing 3 ounces.",0.0
12,A cup of diced low sodium sour pickles is my snack.,3.2318
13,"For dinner, I am enjoying a cup of Valenciana-style paella that includes meat.",38.3346
14,A large chocolate candy that is filled with coconut is my snack.,51.309
15,"A personal-sized pizza topped with cheese and vegetables, served on a gluten-free thin crust.",43.3952
16,Enjoying a piece of peanut brittle as a snack.,7.124
17,"I consumed a pre-cooked quarter of a baked chicken breast, including the skin.",0.1395
18,"For dinner, I am enjoying a cup of cooked dove that has been diced.",0.0
19,"A medium-sized chocolate cake doughnut, glazed and sprinkled with sugar.",24.108
20,"Utilizing a teaspoon of hydrogenated palm kernel oil, known as an industrial confection fat.",0.0
21,"For dinner, I am enjoying a cup of T-bone steak.",0.0
22,"I am preparing 4 ounces of raw chicken wings, including both the meat and skin.",0.0
23,A cup filled with diced raw rhubarb.,5.5388
24,"A slice of toasted pumpernickel bread, excluding the crust.",20.358
25,"I am getting ready to cook a whole leg of Australian lamb weighing roughly a pound, including both the shank and sirloin, and it has been trimmed to 1/8 inch of fat.",0.0
26,"I am enjoying 3 ounces of broiled New Zealand lamb loin, trimmed to an eighth of an inch of fat.",0.0
27,A medium baked potato topped with chili.,56.6055
28,"Dinner consists of a whole perch fish, either baked or broiled.",21.033
29,Consuming 1 ounce of raw pancreas from beef.,0.0
30,Consuming a raw Japanese persimmon that measures approximately 2.5 inches across.,31.2312
31,"I possess a 4-ounce piece of raw flank steak, trimmed to eliminate any fat.",0.0
32,"Enjoying a cup of canned pears packed in heavy syrup, including both the fruit and syrup.",50.9922
33,"For my meal, I am having 3 ounces of smoked chinook salmon.",0.0
34,"For dinner, I'm enjoying 3 ounces of braised boneless beef chuck short ribs.",0.0
35,"Enjoying a frozen Chocolate Eclair by Weight Watchers, produced by Heinz.",23.777
36,"For a snack, I am enjoying a jar of Heinz Strained banana pudding.",16.968
37,A small iced mocha coffee made with non-dairy milk.,32.736
38,I have a cup of freshly cooked peas and carrots without any added fat.,19.968
39,"For a snack, I am enjoying 1 ounce of lightly salted cashews.",8.944425
40,"For dinner, I'm enjoying a can of traditional refried beans.",59.891
41,A cubic inch of lean pork steak is my meal.,0.0
42,A cup of toasted sesame seeds seasoned with salt.,33.3312
43,"Enjoying a raw feijoa fruit as a snack, skin removed.",6.3882
44,"In my dish, I incorporated a tablespoon of ready-to-serve oyster sauce.",1.9656
45,"A porterhouse steak, raw and trimmed to an eighth of an inch of fat.",0.0
46,A medium-sized soft pretzel is being enjoyed as a snack.,83.256
47,Enjoying a biscuit stuffed with a crispy chicken fillet as a snack.,40.3392
48,"For my meal, I am having a slice of grilled chicken served without any sauce and without the skin.",0.0
49,"For lunch, I'm enjoying a can of condensed tomato beef soup with noodles, weighing 10.75 ounces.",51.4535
50,Enjoying a 14-inch cheese pizza with a crunchy thin crust from Domino's.,152.172
51,"A 3-ounce piece of choice chuck beef, specifically the top blade, has been broiled and trimmed to zero fat.",0.0
52,"I possess 4 ounces of raw boneless rib eye steak, trimmed to an eighth of an inch in fat.",0.0
53,A piece of cooked tip round roast with the fat trimmed to 1/8 inch.,0.0
54,A small diet soft drink with a chocolate flavor.,1.044
55,Enjoying a cheese quesadilla that measures approximately 8 to 10 inches across from a Mexican restaurant.,46.7734
56,"A bowl of beef and noodles accompanied by vegetables, minus the carrots and broccoli, all smothered in a tomato sauce.",37.0014
57,"For dinner, I'm having a single heart.",0.0045
58,I am serving a tablespoon of Stage 1 Baby Toddler carrots to my toddler.,0.9
59,"As a snack, I am enjoying 1 ounce of boiled and steamed European chestnuts.",7.86996
60,"I intend to prepare a roast of boneless rib eye steak, trimmed to 1/8 inch of fat.",0.0
61,A small single-serving bag of flavored popped potato chips is being consumed.,19.8912
62,"A pound of beef tenderloin steak, cooked and broiled, with 1/8 inch of fat trimmed off.",0.0
63,"For dessert, I am enjoying a single coconut cream pie.",47.58
64,"A cup of whole grain pasta topped with cream sauce, seafood, and vegetables, ready to be heated.",41.075
65,"For a snack, I am enjoying 1 ounce of plain salted potato chips.",15.0724
66,A cup containing chocolate candy filled with coconut.,91.216
67,"Consuming 3 ounces of freshly cooked pork, featuring cuts from the leg, loin, and shoulder.",0.0
68,"Enjoying half a cup of canned sweet red peppers, with both solids and liquid included.",2.73
69,"A cup of canned beets, prepared without added salt.",16.1622
